이름,주소,카테고리,위도,경도,source
CU 구로디지털단지역점,서울 구로구 구로동 1125-3,편의점,37.4837936261581,126.90134385085,category
CU 관악뉴포레점,서울 관악구 신림동 1644-1,편의점,37.4840406515236,126.903708856696,category
GS25 독산백광점,서울 금천구 독산동 961-3,편의점,37.4778989921782,126.904345330416,category
CU 관악시흥대로점,서울 관악구 신림동 1655-16,편의점,37.4829256008313,126.902000762442,category
세븐일레븐 구로전화국사거리점,서울 금천구 독산동 952-33,편의점,37.479350772786916,126.90245314255432,category
GS25 대림제일점,서울 영등포구 대림동 994-4,편의점,37.4855251381734,126.903250157728,category
CU 구로디지털점,서울 구로구 구로동 1130-8,편의점,37.481100205136656,126.89884987276906,category
CU 관악대로점,서울 관악구 신림동 566-8,편의점,37.480644284853,126.906494501083,category
CU 구로파트너점,서울 구로구 구로동 1128-3,편의점,37.4828795369707,126.898663180191,category
GS25 관악성진점,서울 관악구 신림동 1664-14,편의점,37.4802294778805,126.901633447527,category
CU 독산푸르지오점,서울 금천구 독산동 901-5,편의점,37.4804802812112,126.908773998245,category
세븐일레븐 구로공단점,서울 구로구 구로동 1125-1,편의점,37.48391392988311,126.90190788864648,category
세븐일레븐 구로공단역점,서울 구로구 구로동 1124-44,편의점,37.4847483494007,126.900931033098,category
CU 독산로하스점,서울 금천구 독산동 959,편의점,37.4788169218137,126.902996513207,category
GS25 신림미성점,서울 관악구 신림동 1661,편의점,37.4826412753963,126.902476000117,category
세븐일레븐 구로디지털점,서울 구로구 구로동 1127-5,편의점,37.4824336169648,126.899812503472,category
CU 금천프라임점,서울 금천구 독산동 145-8,편의점,37.47591168662638,126.89825768365522,category
이마트24 금천르네상스점,서울 금천구 독산동 953,편의점,37.4785464055922,126.900571785084,category
세븐일레븐 관악힐스테이트점,서울 관악구 신림동 1644-2,편의점,37.48396249575545,126.90399388181339,category
GS25 관악KT점,서울 관악구 신림동 1668-12,편의점,37.4805271593836,126.904251532122,category
GS25 신림골드점,서울 관악구 신림동 1651-11,편의점,37.483242504113,126.906129457415,category
GS25 구로동양점,서울 구로구 구로동 1130-14,편의점,37.4818414017142,126.898461070269,category
GS25 구로싸이언점,서울 구로구 구로동 811,편의점,37.484078226947226,126.89907085859852,category
